class,re
1,.*太棒.*
2,.*太可爱.*
3,.*我喜欢你.*
4,.*太好啦
5,.*很棒.*
6,.*恭喜你.*
7,.*真棒.*
8,.*送你.*个.*奖杯.*
9,.*真好.*
10,.*太有趣.*
11,.*非常棒.*
12,.*真厉害.*
13,.*太厉害.*
14,.*特别好.*
15,.*特别棒.*
16,.*奖励你.*
17,.*很可爱.*
18,.*恭喜你.*
19,.*非常好.*
20,.*好棒.*
21,.*奖励你.*个.*奖杯.*
22,.*很好.*
23,.*送你.*个.*代奖呗.*
24,.*漂亮.*
25,.*不错.*
